black box type,black box train accuracy,black box test accuracy,anchor precision threshold
DecisionTreeClassifier,1,0.96,0.95
,,,
anchors precision,,,
,kmeans: ,0.64,
,decile: ,0.72,
,quartile: ,0.6,
,entropy: ,0.77,
,MDLP: ,0.77,
,,,
anchors coverage,,,Normalized coverage
,kmeans: ,0.17,0.33
,decile: ,0.16,0.31
,quartile: ,0.21,0.40
,entropy: ,0.34,0.65
,MDLP: ,0.52,1.00
,,,
anchors prec*coverage,,,Normalized F1
,kmeans: ,0.27,0.43
,decile: ,0.27,0.43
,quartile: ,0.31,0.48
,entropy: ,0.47,0.71
,MDLP: ,0.62,0.87
,,,
anchors size,,,
,kmeans: ,7.73,
,decile: ,4.74,
,quartile: ,3.51,
,entropy: ,3.99,
,MDLP: ,2.39,
,,,
time to compute anchors,,,
,kmeans: ,18.11,
,decile: ,21.71,
,quartile: ,7.37,
,entropy: ,12.28,
,MDLP: ,5.1,
,,,
dataset name,dataset size,dataset nb feature,Number of instances running
generate_circles,1000,2,100
