black box type,black box train accuracy,black box test accuracy,anchor precision threshold
MLPClassifier,1,0.565957446808511,0.75
,,,
anchors precision,,,
,Replace with pertinent negatif: ,0.93,
,Replace all words: ,0.96,
,Use of mask word: ,1,
,,,
anchors coverage,,,Normalized coverage
,Replace with pertinent negatif: ,0.59,0.82
,Replace all words: ,0.25,0.35
,Use of mask word: ,0.72,1.00
,,,
anchors prec*coverage,,,Normalized F1
,Replace with pertinent negatif: ,0.72,0.87
,Replace all words: ,0.4,0.51
,Use of mask word: ,0.84,1.00
,,,
anchors size,,,
,Replace with pertinent negatif: ,2.6,
,Replace all words: ,2,
,Use of mask word: ,2,
,,,
time to compute anchors,,,
,Replace with pertinent negatif: ,686.6,
,Replace all words: ,11.65,
,Use of mask word: ,367.09,
,,,
dataset name,dataset size,Number of instances running,
polarity,783,10,
