black box type,black box train accuracy,black box test accuracy
MultinomialNB,0.9595260284915458,0.7546717776712986

anchors precision
,Use of mask word: ,0.99
,Replace all words: ,0.89
""
anchors coverage
,Use of mask word: ,0.56
,Replace all words: ,0.48
""
anchors prec*coverage
,Use of mask word: ,0.55
,Replace all words: ,0.43
""
anchors size
,Use of mask word: ,3.8
,Replace all words: ,4.15
""
time to compute anchors
,Use of mask word: ,46.41
,Replace all words: ,1249.72
""
dataset name,dataset size,Number of instances running
polarity,10433,20
